instance_segmentation,-16.08654,2.459508,-6.380778,0,0.7496224,0,0.6618658
Graphics,-16.08035,2.459508,-6.331163,0,0.7496224,0,0.6618658
LidarObject,-16.25115,2.459508,-6.326974,0,0.7496224,0,0.6618658
rgb_right,-16.08654,2.459508,-6.380778,0,0.7496224,0,0.6618658
rgb_left,-16.07416,2.459508,-6.281548,0,0.7496224,0,0.6618658
LidarObject,-15.91376,2.459508,-6.36909,0,0.7496224,0,0.6618658
depth,-16.07416,2.459508,-6.281548,0,0.7496224,0,0.6618658
trunk_Lidar2D,-16.25115,2.459508,-6.326974,0,0.7496224,0,0.6618658
segmentation,-16.07416,2.459508,-6.281548,0,0.7496224,0,0.6618658
3pv,-17.27111,3.159508,-6.182522,0.07285058,0.7450677,-0.08250983,0.6578443
hood_Lidar2D,-15.91376,2.459508,-6.36909,0,0.7496224,0,0.6618658
Fence_Backyard_Tile (4),-68.58,0.5,-6,0,1,0,-4.371139E-08
Bone02,4.971581,4.822471,6.956,0.1453448,-0.2141547,-0.5424337,0.7992362
Tree_Trunk,4.963359,0.2512774,6.956,-0.7071068,0,0,0.7071068
TreeLarge_Skinned (10),5,0.22,6.956,0,0,0,1
FenceDark_Backyard_Tile (10),-35.5,0.5,47.5,0,0,0,1
Bone03,4.972291,4.824191,6.956,0.2925844,-0.1771221,-0.8038689,0.4866385
Tree_Grate,4.963359,0.2584387,6.956,-0.7071068,0,0,0.7071068
Tree_Groundplane,4.965672,0.263188,6.965767,-0.7071068,0,0,0.7071068
Bone01,4.957463,0.2432061,6.956,9.793883E-06,-9.762231E-06,-0.7082503,0.7059615
Floor_Grass_8x8 (2),-60,0.5,31,0.7071068,0,0,-0.7071068
Lamp_Wall_Box (3),-54,2.5,27.5,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08
Flag_Usa (2),14.32,2.27,-2.976,-0.4791107,-0.5200509,-0.5200511,0.4791107
Plant_FlowersWhite (2),-5.026,0.5441499,25.063,-0.6718141,0.2206035,0.2206035,0.671814
Plant_Climber_Short (3),-33.307,0.553,26.916,0.7071068,0,0,0.7071068
Fence_Frontyard_Tile_Left_2x,-49.75,0.151,4,0,0,0,1
Floor_Grass_8x8 (18),-28,0.5,-15,0.7071068,0,0,-0.7071068
Lamp_Garden_Small (19),-24.559,0.275,1.669,-0.6604572,0.07770152,0.1074225,0.7390665
Background_Bush_6x (20),-26,0.5,-20,-0.7071068,0,0,0.7071068
Fence_Frontyard_Tile_Left_2x (11),15.157,0.359,-1.063,0,0.7071068,0,0.7071067
Floor_Grass_8x8 (29),-68,0.5,39,-0.7071068,0,0,0.7071068
Lamp_Garden_Pilar (15),-26.36,0.302,22.169,0.7071068,0,0,-0.7071068
Street_Sign (1),-81.172,0.1778036,6.792,-0.5,-0.5,-0.5,0.5
Road_Corner (1),-87,0,12,-0.5,-0.5,-0.5,0.5
Floor_Grass_2x8 (8),-42,0.5,48,0.5,-0.5,-0.5,-0.5
Road_Corner (2),33,0,12,0.5,-0.5,-0.5,-0.5
Background_Bush_6x (6),-8,0.5,53,-0.7071068,0,0,0.7071068
Roof_End_7x,-34.5,3.5,33,0.5,-0.5000001,0.5000001,0.5
Fence_Frontyard_Tile_Right_2x,-57.18,0.151,4,0,0,0,1
Floor_Grass_2x8 (13),-26,0.5,36.5,0.5,-0.5,-0.5,-0.5
Tree_Billboard (11),-49.2,5.33,97.5,0,-0.9956536,0,-0.09313496
Bone02,-31.97158,4.811471,7,-0.5424337,0.7992362,-0.1453447,0.2141546
Tree_Trunk,-31.96336,0.2402773,7,3.090862E-08,0.7071068,0.7071068,-3.090862E-08
TreeLarge_Skinned (2),-32,0.209,7,0,1,0,-4.371139E-08
Tree_Groundplane,-31.96567,0.252188,6.990232,3.090862E-08,0.7071068,0.7071068,-3.090862E-08
Tree_Grate,-31.96336,0.2474387,7,3.090862E-08,0.7071068,0.7071068,-3.090862E-08
Bone01,-31.95746,0.2322061,7,-0.7082503,0.7059615,-9.762924E-06,9.731373E-06
Bone03,-31.97229,4.813191,7,-0.8038689,0.4866385,-0.2925844,0.177122
Plant_Grass (26),-42.942,0.347,22.867,-0.7288318,0,0,0.6846927
Road_8x (43),-87,0,-24,-0.5,-0.5,-0.5,0.5
Road_8x (37),33,0,48,-0.5,-0.5,-0.5,0.5
Flowerbed_Low_2x (1),-31.14,0.4999996,-3.548,0.7071068,0,0,-0.7071068
Plant_HedgeBush (10),-11.88,1,-2.5,-0.5,-0.5,-0.5,0.5
Plant_Drygrass,8.871935,0.4938237,-0.6142693,0.7071068,0,0,-0.7071068
Floor_Grass_8x8 (6),-52,0.5,31,-0.7071068,0,0,0.7071068
Flower_Red_02 (5),-31.58552,0.323,39.88859,-0.7071068,0,0,0.7071068
Plant_Grass (12),-60.017,0.27,2.148,-0.6839296,0,0,0.729548
Plant_HedgeBush (18),-71.05,0.509,27.93,0.5,-0.5,-0.5,-0.5
Fence_Frontyard_Tile_Right_2x (3),-71.04,0.295,1,0,-0.7071068,0,0.7071067
WallDown_3x (9),-18.5,0.5,36.5,-0.5,-0.5,-0.5,0.5
Plant_Grass (20),-31.293,0.251,21.772,-0.7273767,0,0,0.6862385
Fence_Frontyard_End (1),-51.75,0.151,4,0,0,0,1
Plant_Grass_Small (38),-4.179,0.339,24.357,0.03701632,-0.7061372,-0.7061373,-0.03701627
Fence_Backyard_End (3),-13.339,0.5,-5.48,0,0,0,1
Road_8x (54),33,0,-39.5,0.5,-0.5,-0.5,-0.5
Floor_Grass_8x8,-68,0.5,-7,0.7071068,0,0,-0.7071068
Door_White_Parent (2),-21.5,0.5,36.5,0,0,0,1
Plant_Grass (62),-38.15,0.461,39.64,0.7066132,-0.02641621,-0.02641621,-0.7066132
Porch_Floor_3x2 (2),-22,0.5,36.5,0.7071068,0,0,-0.7071068
Lamp_Garden_Small (29),-31.557,0.612,38.822,-0.4493991,-0.4838611,-0.3945836,0.6389232
Plant_Bush_B (5),-27,0,20.5,0.7071068,0,0,-0.7071068
Road_8x (4),-15,0,12,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08
Plant_FlowersRed (17),-22.422,0.619,27.159,0.5143246,-0.4852528,-0.4852528,-0.5143246
Lamp_Garden_Pilar (5),-45.5,0.2,2.98,0.7071068,0,0,-0.7071068
Roof_5x (2),-33,4,31,0.7071068,0,0,-0.7071068
Fence_Frontyard_Tile_Left_2x (6),12.172,0.141,3.957,0,0,0,1
Fence_Frontyard_Tile_Left_2x (10),15.157,0.274,0.929,0,0.7071068,0,0.7071067
Lamp_WireHanging_2x,4.231,3.068,-1.037,-0.7071068,0,0,0.7071068
