instance_segmentation,0.05000019,-0.2496004,0,0,0,0,1
Graphics,0,-0.2496004,0,0,0,0,1
LidarObject,0.017,-0.2496004,-0.17,0,0,0,1
rgb_right,0.05,-0.2496004,0,0,0,0,1
rgb_left,-0.05,-0.2496004,0,0,0,0,1
LidarObject,0.017,-0.2496004,0.17,0,0,0,1
depth,0.05,-0.2496004,0,0,0,0,1
trunk_Lidar2D,0.017,-0.2496004,-0.17,0,0,0,1
segmentation,0.05,-0.2496004,0,0,0,0,1
3pv,0,0.4503996,-1.2,0.1100685,0,0,0.993924
hood_Lidar2D,0.017,-0.2496004,0.17,0,0,0,1
Sink3x (2),35.427,2.005,39.902,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08
Cart (1),14.06789,1,42.12292,0.5,-0.5,-0.5,-0.5
Files_Drawer (11),-3.017,1.770937,37.01431,0.5,0.5,0.5,-0.5
Files_Drawer (6),14.287,1.78,46.43719,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08
Chair_Wood,5.02,1,32.513,-0.5,-0.5,-0.5,0.5
Spotlight (2),-3.789,3.752,15.182,0.7071068,0,0,0.7071068
Mug_WithPens,-12.89267,1.82,12.82465,-0.7071068,0,0,0.7071068
Plant_Inside_Large (2),9.135642,1,21.93246,-0.5700252,0.4184153,0.4184152,0.5700252
Metal_Drawer_SeparateDrawers (1),21.803,1,35.001,-0.5,-0.5,-0.5,0.5
Drawer_A,21.667,1,35.001,-0.5,-0.5,-0.5,0.5
Drawer_B,21.803,1,35.001,-0.5,-0.5,-0.5,0.5
Drawer_C,21.803,1,35.001,-0.5,-0.5,-0.5,0.5
Lamp_Fluorescent_A (1),22.013,3.502,49.487,-0.7071068,0,0,0.7071068
Lamp_Fluorescent_A_Hang,22.01371,3.505886,49.48924,-0.7071068,0,0,0.7071068
Paper02 (1),-13.39508,1.775,33.4987,-0.4170504,-0.5710246,-0.5710245,0.4170504
Table_OfficeCorner (5),-2.817,1,38.739,0,0,0,1
Table_Main,-2.817,1,38.739,-0.7071068,0,0,0.7071068
Table_Drawer,-2.817,1,36.992,-0.7071068,0,0,0.7071068
Table_DrawerSmall,-4.72,1,38.739,-0.7071068,0,0,0.7071068
Flagpole_Wall,-5.467965,1.329,22.07512,-0.7071068,0,0,0.7071067
CeilingLamp_Embed (16),-1.5,4,26,0.7071068,0,0,-0.7071068
Toilet_Paper (2),-0.969,2.044,29.627,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08
AirventilationGrid_A (3),17,4,35,0.7071068,0,0,-0.7071068
Toilet_Paper,3.504,1.920955,34.992,-0.5,0.5,0.5000001,0.4999999
Urinal_Partition (3),30.665,1,33.5,0.7071068,0,0,-0.7071068
Area Light (9),21.622,2.72,22.29,0.0540248,-0.05402479,0.70504,0.70504
CeilingLamp_Embed (30),-19.511,4,26,0.7071068,0,0,-0.7071068
Floor_12x4 (20),40.5,4,37,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08
Fan_Blades,-7.272191,2.055109,34.3773,0.7062829,-0.03412628,-0.03412628,-0.7062829
Area Light (6),15.093,2.72,22.29,0.0540248,-0.05402479,0.70504,0.70504
Couch_1seat (10),18.515,1,42.339,0.4982561,-0.5017379,-0.5017377,-0.4982563
Lamp_SquareCeiling (5),-18.499,10.605,33.028,-0.7071068,0,0,0.7071068
WindowBlinds_B (3),-0.536,3.71,10.579,-0.5,-0.5,-0.5,0.5
TableWooden_B_WithProps_D,-8.5,1,13,0,0,0,1
Painting_F (1),-19.59,2.812,20.603,-0.7071068,0,0,0.7071068
